20 Hz,35 Hz,50 Hz,70 Hz,95 Hz
125.3,107.9,80.3,52.3,65.9
114.2,56.8,86.0,56.8,53.5
133.0,69.5,66.2,63.8,47.4
128.2,105.9,79.1,53.1,34.2
77.2,74.6,87.4,58.0,29.2
94.1,83.9,58.9,93.1,21.7
70.0,63.2,77.1,65.0,45.6
94.3,74.2,83.2,73.7,42.3
111.2,75.8,77.4,57.6,24.2
139.6,102.0,114.6,50.6,50.7
138.8,61.7,92.4,50.2,49.4
98.2,119.7,61.3,82.8,38.0
136.9,75.1,52.4,81.1,59.5
103.2,67.4,62.3,63.5,13.9
90.4,108.6,107.9,80.4,60.1
165.0,95.4,74.8,43.8,50.7
89.1,80.0,74.1,38.6,46.5
76.3,81.6,65.8,53.2,56.4
58.1,80.4,53.4,64.5,66.6
145.8,78.2,55.8,38.3,40.7
71.6,105.8,66.9,44.8,61.1
125.2,69.4,57.3,83.2,50.2
146.6,78.3,90.1,52.6,51.8
117.4,70.7,57.3,37.6,49.9
134.7,97.6,50.2,38.9,55.4
190.6,86.2,67.2,58.1,44.5
120.5,104.4,53.1,45.9,33.6
110.5,99.2,85.3,56.8,39.6
88.1,81.1,63.6,63.7,52.6
177.2,78.6,81.6,70.8,50.4
65.7,65.1,74.1,64.0,47.6
68.5,88.3,79.5,44.4,38.8
94.6,136.1,76.2,67.6,57.3
174.0,92.7,70.4,73.2,59.5
148.4,80.4,86.0,78.5,59.9
48.7,151.3,116.5,51.9,67.8
140.0,129.4,53.6,77.4,45.4
73.6,71.2,78.2,53.5,33.5
180.0,87.8,91.8,47.8,36.0
88.4,72.6,54.8,50.4,49.2
103.1,85.8,48.9,78.4,47.8
121.7,82.3,63.0,66.2,42.7
145.7,60.2,67.0,48.5,53.9
75.0,109.9,53.0,79.9,47.6
127.5,90.1,58.5,61.9,49.5
151.8,89.2,43.9,68.8,71.5
125.9,101.5,50.2,55.1,25.1
94.9,54.3,70.2,66.6,30.1
150.5,93.0,66.9,66.6,69.7
100.7,64.5,93.4,67.2,58.7
34.4,86.5,54.1,77.6,51.8
157.6,79.7,69.4,49.7,71.4
76.8,104.7,82.4,65.7,60.4
98.8,97.0,79.6,69.5,41.5
73.9,98.2,80.8,45.3,49.8
98.9,114.2,120.3,55.5,65.8
71.1,110.8,72.9,52.2,52.0
89.8,91.3,61.1,71.4,77.1
136.4,131.7,63.5,58.4,46.8
64.9,69.0,62.3,52.9,37.0
140.0,91.4,68.3,59.1,40.5
104.2,93.5,105.3,103.8,59.7
85.6,96.7,71.8,68.6,108.8
136.3,113.8,74.2,62.0,48.8
98.8,94.8,55.4,82.4,39.4
86.7,70.4,58.2,72.2,47.9
80.2,79.5,63.5,63.5,13.4
98.7,107.6,115.7,74.1,45.3
204.6,89.5,51.6,71.2,31.9
86.4,93.1,65.9,67.5,42.0
116.0,133.5,66.9,93.6,34.5
146.6,101.8,54.3,49.2,61.8
75.4,52.4,59.0,74.8,51.4
102.9,105.6,78.4,87.7,60.3
90.6,111.3,71.3,47.0,64.4
84.4,94.0,56.6,52.8,52.3
148.8,107.4,65.2,50.6,35.0
102.0,101.8,50.7,44.7,39.8
180.0,75.0,103.6,36.0,42.1
159.6,91.7,92.7,56.2,44.4
