20 Hz,35 Hz,50 Hz,70 Hz,95 Hz
55.3,72.7,78.0,47.7,22.6
98.7,84.6,98.2,46.4,14.4
106.7,37.6,88.4,31.8,18.8
107.1,81.7,52.3,60.1,39.8
90.2,93.3,56.1,68.8,62.1
89.6,74.7,76.2,55.0,19.1
90.0,169.3,102.8,74.4,18.3
165.3,64.3,58.2,50.4,27.3
90.0,71.1,83.2,52.7,21.4
150.9,110.1,40.2,70.6,44.4
68.3,66.2,73.9,76.8,13.3
114.5,74.0,60.9,37.9,22.1
66.9,71.5,61.8,93.4,44.0
147.0,83.2,84.9,52.4,14.9
101.0,100.1,65.2,83.4,27.7
90.0,111.9,86.7,69.3,49.5
116.1,72.7,65.9,48.4,41.8
128.9,58.4,122.0,37.9,17.9
80.7,89.0,61.0,40.9,18.6
95.0,91.4,73.6,54.8,15.5
131.7,66.0,59.5,53.8,31.8
106.1,90.4,62.5,44.9,34.6
136.3,82.7,52.9,42.6,26.3
65.8,62.1,29.4,48.6,25.1
107.2,78.5,81.1,61.4,29.1
105.1,65.8,74.2,46.4,17.7
67.1,122.2,72.1,49.0,26.3
63.3,88.8,54.7,65.4,27.6
73.1,69.6,65.1,37.3,19.9
111.7,57.3,80.2,33.9,19.9
90.4,71.4,59.2,70.9,33.2
86.9,102.1,41.4,52.2,24.3
138.7,90.0,64.7,52.2,20.4
131.2,66.3,64.0,48.6,16.8
77.3,133.7,57.2,47.4,24.7
68.7,89.5,45.6,51.0,14.2
62.1,61.2,63.4,44.5,13.6
108.5,121.3,68.1,59.8,55.8
155.9,99.8,82.3,65.2,13.2
132.9,79.4,71.2,40.8,14.1
66.7,68.1,80.8,49.3,38.8
18.9,82.8,60.5,73.4,18.3
123.7,82.4,49.3,55.0,30.2
106.1,57.1,26.0,90.3,22.7
167.8,59.8,110.2,91.9,44.2
140.1,79.3,80.5,57.5,28.7
159.0,56.8,79.7,37.8,33.3
82.6,54.8,72.0,31.0,24.3
155.0,112.9,63.4,62.2,29.5
111.8,24.1,76.1,77.6,42.6
77.2,84.7,72.5,60.1,30.1
106.7,65.2,70.6,65.2,18.3
96.4,92.5,42.7,52.6,33.6
86.2,63.4,61.0,72.6,18.5
137.7,103.0,69.8,65.6,28.1
